Site	Type	Left	Right	Strand	Transcription-Units
avtA	Transcription-Units	3739674	3740958	+	avtA
avtAp	Promoters	3739613	3739674	+	avtA
azoR	Transcription-Units	1482904	1482860	-	azoR
azoRp	Promoters	1482904	1482965	-	azoR
azoRp1	Promoters	1482873	1482934	-	NA
azoRp6	Promoters	1482927	1482988	-	NA
azoRp8	Promoters	1482991	1483052	-	NA
azuC	Transcription-Units	1988001	1987959	-	azuC
azuCp	Promoters	1988001	1988062	-	azuC
bacA	Transcription-Units	3204175	3204131	-	bacA
bacAp	Promoters	3204175	3204236	-	bacA
BaeR-Pasp61 DNA-binding-site 157.5 bases upstream of spyp	DNA-Binding-Sites	1825836	1825856	-	spy
BaeR-Pasp61 DNA-binding-site 27.5 bases upstream of mdtAp	DNA-Binding-Sites	2153942	2153962	+	mdtABCD-baeSR
BaeR-Pasp61 DNA-binding-site 36.5 bases upstream of acrDp2	DNA-Binding-Sites	2587504	2587524	+	acrD
BaeR-Pasp61 DNA-binding-site 86.5 bases upstream of spyp	DNA-Binding-Sites	1825765	1825785	-	spy
baeSR	Transcription-Units	2162876	2164998	+	baeSR
bamA	Transcription-Units	197821	200360	+	bamA
bamA-hlpA-lpxD-fabZ-lpxAB-rnhB-dnaE	Transcription-Units	197026	208608	+	bamA-hlpA-lpxD-fabZ-lpxAB-rnhB-dnaE
bamAp1	Promoters	197760	197821	+	bamA
bamAp2	Promoters	196965	197026	+	bamA-hlpA-lpxD-fabZ-lpxAB-rnhB-dnaE
bamB-der	Transcription-Units	2638975	2638652	-	bamB-der
bamBp	Promoters	2638975	2639036	-	bamB-der
bamC	Transcription-Units	2599014	2598865	-	bamC
bamCp	Promoters	2599014	2599075	-	bamC
bamD	Transcription-Units	2736006	2736883	+	bamD
bamD	Transcription-Units	2735961	2736883	+	bamD
bamDp1	Promoters	2735945	2736006	+	bamD
bamDp2	Promoters	2735900	2735961	+	bamD
bamE	Transcription-Units	2753486	2753946	+	bamE
bamEp	Promoters	2753425	2753486	+	bamE
barA	Transcription-Units	2915057	2917813	+	barA
BasR-Pasp51 DNA-binding-site 13.5 bases upstream of ygiWp6	DNA-Binding-Sites	3169726	3169746	+	qseBC
BasR-Pasp51 DNA-binding-site 137.5 bases upstream of cspIp1	DNA-Binding-Sites	1638940	1638960	-	cspI
BasR-Pasp51 DNA-binding-site 2.5 bases downstream of putAp	DNA-Binding-Sites	1078914	1078934	-	putA
BasR-Pasp51 DNA-binding-site 30.5 bases upstream of dgkAp1	DNA-Binding-Sites	4256417	4256437	+	dgkA
BasR-Pasp51 DNA-binding-site 394.5 bases upstream of tomBp	DNA-Binding-Sites	481179	481199	-	tomB-hha
BasR-Pasp51 DNA-binding-site 41.5 bases upstream of fimBp2	DNA-Binding-Sites	4540616	4540636	+	fimB
BasR-Pasp51 DNA-binding-site 52.5 bases upstream of yrbLp	DNA-Binding-Sites	3348359	3348379	+	yrbL
BasR-Pasp51 DNA-binding-site 90.5 bases upstream of csgDp3	DNA-Binding-Sites	1103425	1103445	-	csgDEFG // csgDEFG
BasR-Pasp51 DNA-binding-site regulating arnBCADTEF	DNA-Binding-Sites	2365813	2365833	+	arnBCADTEF
BasR-Pasp51 DNA-binding-site regulating eptA	DNA-Binding-Sites	4335634	4335654	-	eptA
BasR-Pasp51 DNA-binding-site regulating yibD	DNA-Binding-Sites	3790127	3790147	-	yibD
basRS	Transcription-Units	4332181	4333950	-	basRS
basSp4	Promoters	4333477	4333538	-	NA
bax	Transcription-Units	3736353	3737177	-	bax
baxp5	Promoters	3737221	3737282	-	NA
baxp7	Promoters	3737234	3737295	-	NA
bcp	Transcription-Units	2600437	2600948	+	bcp
bcpp	Promoters	2600376	2600437	+	bcp
bcr	Transcription-Units	2278570	2279760	-	bcr
bcsABZC	Transcription-Units	3685700	3695236	-	bcsABZC
bcsBp	Promoters	3692673	3692734	-	bcsBZ
bcsBZ	Transcription-Units	3692673	3692607	-	bcsBZ
bcsEFG	Transcription-Units	3696443	3699893	+	bcsEFG
bcsEp1	Promoters	3696382	3696443	+	bcsEFG
bcsEp11	Promoters	3696334	3696395	+	NA
bcsEp8	Promoters	3696261	3696322	+	NA
bcsQ	Transcription-Units	3695233	3695985	-	bcsQ
bdcA	Transcription-Units	4474064	4474053	-	bdcA
bdcAp	Promoters	4474064	4474125	-	bdcA
bdcR	Transcription-Units	4474124	4474717	+	bdcR
bdcRp4	Promoters	4474035	4474096	+	NA
bdm-sra	Transcription-Units	1556340	1556280	-	bdm-sra
bdmp	Promoters	1556340	1556401	-	bdm-sra
bepA-yfgD	Transcription-Units	2616026	2617937	+	bepA-yfgD
bepA-yfgD	Transcription-Units	2616068	2617937	+	bepA-yfgD
bepAp1	Promoters	2616007	2616068	+	bepA-yfgD
bepAp2	Promoters	2615965	2616026	+	bepA-yfgD
betAp5	Promoters	327261	327322	-	NA
betAp7	Promoters	327257	327318	-	NA
BetI DNA-binding-site 30 bases upstream of betTp	DNA-Binding-Sites	329381	329401	+	betT // betIBA
betIBA	Transcription-Units	329361	329334	-	betIBA
betIp	Promoters	329361	329422	-	betIBA
betT	Transcription-Units	329421	331496	+	betT
betTp	Promoters	329360	329421	+	betT
bfd-bfr	Transcription-Units	3466249	3466991	-	bfd-bfr
bfrp3	Promoters	3466749	3466810	-	NA
bglA	Transcription-Units	3043662	3045101	+	bglA
bglG	Transcription-Units	3906697	3906567	-	bglG
bglG	Transcription-Units	3906717	3906567	-	bglG
bglG attenuator	Rho-Independent-Terminators	3905636	3905687	-	bglG // bglG
bglGFB	Transcription-Units	3906697	3906634	-	bglGFB
bglGFB attenuator	Rho-Independent-Terminators	3906593	3906634	-	bglGFB
bglGFB terminator	Rho-Independent-Terminators	3902249	3902292	-	bglGFB
bglGp1	Promoters	3906697	3906758	-	bglG // bglGFB
bglGp2	Promoters	3906717	3906778	-	bglG
bglH-yieLK	Transcription-Units	3898671	3902220	-	bglH-yieLK
bglX	Transcription-Units	2222120	2221989	-	bglX
bglX terminator	Rho-Independent-Terminators	2219660	2219682	-	bglX
bglXp	Promoters	2222120	2222181	-	bglX
bhsA	Transcription-Units	1169019	1169330	+	bhsA
bhsAp	Promoters	1168972	1169033	+	ycfR
bhsAp8	Promoters	1168920	1168981	+	NA
bhsAp9	Promoters	1168958	1169019	+	bhsA
bioA	Transcription-Units	809292	809257	-	bioA
bioAp	Promoters	809292	809353	-	bioA
bioBFCD	Transcription-Units	809302	812947	+	bioBFCD
bioBp	Promoters	809241	809302	+	bioBFCD
bioH	Transcription-Units	3544858	3544844	-	bioH
bioHp	Promoters	3544858	3544919	-	bioH
bioP	Transcription-Units	4011076	4011975	+	bioP
bipA	Transcription-Units	4058407	4060230	+	bipA
BirA-bio-5'-AMP DNA-binding-site 11.5 bases downstream of bioAp	DNA-Binding-Sites	809262	809302	-	bioA // bioBFCD
bisC	Transcription-Units	3714061	3716394	-	bisC
bisCp3	Promoters	3716486	3716547	-	NA
bisCp4	Promoters	3716415	3716476	-	NA
bisCp6	Promoters	3716484	3716545	-	NA
bisCp7	Promoters	3716513	3716574	-	NA
blc	Transcription-Units	4377745	4377722	-	blc
blcp	Promoters	4377745	4377806	-	blc
blr	Transcription-Units	1704512	1704676	+	blr
blrp	Promoters	1704451	1704512	+	blr
bluF	Transcription-Units	1215506	1215475	-	bluF
bluFp	Promoters	1215506	1215567	-	bluF
bluFp7	Promoters	1215613	1215674	-	NA
bluR	Transcription-Units	1214113	1214059	-	bluR
BluR DNA-binding-site 29.5 bases upstream of ycgZp2	DNA-Binding-Sites	1215713	1215733	+	ycgZ-ymgA-ariR-ymgC // ycgZ-ymgA-ariR-ymgC
bluRp	Promoters	1214113	1214174	-	bluR
bolA	Transcription-Units	454434	454865	+	bolA
bolA	Transcription-Units	454434	454865	+	bolA
bolA	Transcription-Units	454349	454865	+	bolA
bolA terminator	Rho-Independent-Terminators	454844	454865	+	bolA // bolA // bolA
BolA-phosphate DNA-binding-site 191.5 bases upstream of mreBp1	DNA-Binding-Sites	3401317	3401325	-	mreB // mreBCD
bolAp	Promoters	454373	454434	+	bolA
bolAp1	Promoters	454373	454434	+	bolA
bolAp2	Promoters	454288	454349	+	bolA
borD	Transcription-Units	578921	578893	-	borD
borDp	Promoters	578921	578982	-	borD
brnQ-proY	Transcription-Units	419488	422359	+	brnQ-proY
brnQp	Promoters	419427	419488	+	brnQ-proY
bsmA	Transcription-Units	4416869	4416770	-	bsmA
bsmAp	Promoters	4416869	4416930	-	bsmA
bssR	Transcription-Units	878248	878631	+	bssR
bssRp5	Promoters	878185	878246	+	NA
bssS	Transcription-Units	1121020	1120955	-	bssS
bssS	Transcription-Units	1121032	1120955	-	bssS
bssS	Transcription-Units	1121058	1120955	-	bssS
bssSp	Promoters	1121020	1121081	-	bssS
bssSp1	Promoters	1121058	1121119	-	bssS
bssSp2	Promoters	1121032	1121093	-	bssS
btsSR	Transcription-Units	2212243	2214644	-	btsSR
btsT	Transcription-Units	4591367	4591279	-	btsT
btuB-murI	Transcription-Units	4163399	4166285	+	btuB-murI
btuBp	Promoters	4163338	4163399	+	btuB-murI
btuCED	Transcription-Units	1792809	1795152	-	btuCED
btuD	Transcription-Units	1793583	1793558	-	btuD
btuDp	Promoters	1793583	1793644	-	btuD
btuE	Transcription-Units	1794124	1794109	-	btuE
btuE	Transcription-Units	1794129	1794109	-	btuE
btuEp1	Promoters	1794124	1794185	-	btuE
btuEp2	Promoters	1794129	1794190	-	btuE
C0293	Transcription-Units	1196711	1196782	+	C0293
C0293 mRNA-binding-site regulating fadR	mRNA-Binding-Sites	1234958	1234981	+	fadR // fadR
C0293 mRNA-binding-site regulating hcaR	mRNA-Binding-Sites	2668895	2668902	-	hcaR
C0293p	Promoters	1196650	1196711	+	C0293
cadA	Transcription-Units	4356470	4358617	-	cadA
cadBA	Transcription-Units	4360106	4360031	-	cadBA
cadBp	Promoters	4360106	4360167	-	cadBA
cadC	Transcription-Units	4361963	4361934	-	cadC
cadCp	Promoters	4361963	4362024	-	cadC
caiCDE	Transcription-Units	34781	37824	-	caiCDE
caiEp3	Promoters	35499	35560	-	NA
caiEp5	Promoters	35440	35501	-	NA
caiEp7	Promoters	35399	35460	-	NA
caiF	Transcription-Units	34218	34695	+	caiF
CaiF-L-carnitine DNA-binding-site 117.5 bases upstream of fixAp	DNA-Binding-Sites	42200	42216	+	fixABCX // caiTABCDE
CaiF-L-carnitine DNA-binding-site 151.5 bases upstream of caiTp	DNA-Binding-Sites	42181	42197	-	caiTABCDE // fixABCX
CaiF-L-carnitine DNA-binding-site 208.5 bases upstream of caiTp	DNA-Binding-Sites	42238	42254	-	caiTABCDE // fixABCX
CaiF-L-carnitine DNA-binding-site 60.5 bases upstream of fixAp	DNA-Binding-Sites	42257	42273	+	fixABCX // caiTABCDE
caiFp	Promoters	34157	34218	+	caiF
caiTABCDE	Transcription-Units	42037	41931	-	caiTABCDE
caiTp	Promoters	42037	42098	-	caiTABCDE
can	Transcription-Units	142703	142670	-	can
can	Transcription-Units	142703	142670	-	can
canp	Promoters	142703	142764	-	can
canp2	Promoters	142703	142764	-	can
carAB	Transcription-Units	29619	34120	+	carAB
carAB	Transcription-Units	29551	34120	+	carAB
carAB terminator	Rho-Independent-Terminators	34087	34120	+	carAB // carAB
carAp1	Promoters	29490	29551	+	carAB
carAp2	Promoters	29558	29619	+	carAB
carB	Transcription-Units	30775	34038	+	carB
carBp	Promoters	30714	30775	+	carB
cas3	Transcription-Units	2884553	2887219	-	cas3
casABCDE12	Transcription-Units	2884319	2884138	-	casABCDE12
casAp	Promoters	2884319	2884380	-	casABCDE12
casDE-ygbTF	Transcription-Units	2878569	2881048	-	casDE-ygbTF
cbl	Transcription-Units	2060941	2060914	-	cbl
Cbl DNA-binding-site 54.5 bases upstream of ssuEp	DNA-Binding-Sites	997598	997638	-	ssuEADCB
Cbl DNA-binding-site 91 bases upstream of tauAp	DNA-Binding-Sites	385094	385134	+	tauABCD
cblp	Promoters	2060941	2061002	-	cbl
cbpA-cbpM	Transcription-Units	1063919	1063775	-	cbpA-cbpM
cbpA-cbpM	Transcription-Units	1064037	1063775	-	cbpA-cbpM
cbpA-cbpM	Transcription-Units	1064037	1063775	-	cbpA-cbpM
cbpAM	Transcription-Units	1063833	1063775	-	cbpAM
cbpAM	Transcription-Units	1063828	1063775	-	cbpAM
cbpAp	Promoters	1064037	1064098	-	cbpA-cbpM
cbpAp1	Promoters	1063833	1063894	-	cbpAM
cbpAp2	Promoters	1063828	1063889	-	cbpAM
cbpAp4	Promoters	1063919	1063980	-	cbpA-cbpM
cbpAp6	Promoters	1064037	1064098	-	cbpA-cbpM
cbrA	Transcription-Units	3869377	3870441	+	cbrA
cbrA	Transcription-Units	3869377	3870441	+	cbrA
cbrAp6	Promoters	3869253	3869314	+	NA
cbrB	Transcription-Units	3897506	3897973	+	cbrB
cbrBC	Transcription-Units	3897506	3898609	+	cbrBC
cbrBp3	Promoters	3897418	3897479	+	NA
cbrC	Transcription-Units	3898022	3898609	+	cbrC
ccmABCDEFGH	Transcription-Units	2291358	2297644	-	ccmABCDEFGH
ccmHp1	Promoters	2292621	2292682	-	NA
cdaR	Transcription-Units	182447	183620	+	cdaR
cdaRp	Promoters	182386	182447	+	cdaR
cdd	Transcription-Units	2231819	2232728	+	cdd
cddp	Promoters	2231758	2231819	+	cdd
cdgI	Transcription-Units	1870385	1871860	+	cdgI
cdh	Transcription-Units	4109907	4110730	+	cdh
cdh terminator	Rho-Independent-Terminators	4110708	4110730	+	cdh
cdhp	Promoters	4109846	4109907	+	cdh
cdsA	Transcription-Units	195677	196534	+	cdsA
cdsAp2	Promoters	195500	195561	+	NA
cdsAp3	Promoters	195494	195555	+	NA
CecR DNA-binding-site regulating rhlE	DNA-Binding-Sites	830658	830678	-	rhlE // cecR-ybhGFSR
cecR-ybhGFSR	Transcription-Units	830669	830643	-	cecR-ybhGFSR
cecRp	Promoters	830669	830730	-	cecR-ybhGFSR
cedA	Transcription-Units	1813742	1813663	-	cedA
cedAp	Promoters	1813742	1813803	-	cedA
cfa	Transcription-Units	1741201	1742561	+	cfa
cfa	Transcription-Units	1741379	1742561	+	cfa
cfa	Transcription-Units	1741201	1742561	+	cfa
cfap	Promoters	1741140	1741201	+	cfa
cfap1	Promoters	1741140	1741201	+	cfa
cfap2	Promoters	1741318	1741379	+	cfa
chaA	Transcription-Units	1270749	1271849	-	chaA
chaBC	Transcription-Units	1272119	1273202	+	chaBC
chaC	Transcription-Units	1272422	1273202	+	chaC
chaCp	Promoters	1272361	1272422	+	chaC
chbBCARFG	Transcription-Units	1821726	1821619	-	chbBCARFG
chbBp	Promoters	1821726	1821787	-	chbBCARFG
chbGp4	Promoters	1817242	1817303	-	NA
chbGp5	Promoters	1817312	1817373	-	NA
ChbR DNA-binding-site 38 bases upstream of chbBp	DNA-Binding-Sites	1821764	1821764	-	chbBCARFG
ChbR DNA-binding-site 61 bases upstream of chbBp	DNA-Binding-Sites	1821787	1821787	-	chbBCARFG
cheWp5	Promoters	1973462	1973523	-	NA
chiA	Transcription-Units	3469896	3469853	-	chiA
chiAp	Promoters	3469896	3469957	-	chiA
chiPp	Promoters	708175	708236	+	chiZPQ
chiQ	Transcription-Units	709790	710116	+	chiQ
chiX	Transcription-Units	507204	507287	+	chiX
ChiX mRNA-binding-site regulating chbBCARFG	mRNA-Binding-Sites	1821263	1821283	-	chbBCARFG
ChiX mRNA-binding-site regulating chiZPQ	mRNA-Binding-Sites	708315	708326	+	chiZPQ
ChiX mRNA-binding-site regulating dpiBA	mRNA-Binding-Sites	652198	652209	+	dpiBA
chiX terminator	Rho-Independent-Terminators	507260	507287	+	chiX
chiXp	Promoters	507143	507204	+	chiX
chiZPQ	Transcription-Units	708236	710116	+	chiZPQ
cho	Transcription-Units	1823492	1824402	+	cho
chop	Promoters	1823431	1823492	+	cho
chpSB	Transcription-Units	4448428	4449042	+	chpSB
chpSB	Transcription-Units	4448402	4449042	+	chpSB
chpSp1	Promoters	4448341	4448402	+	chpSB
chpSp2	Promoters	4448367	4448428	+	chpSB
cirA	Transcription-Units	2246929	2246769	-	cirA
cirA	Transcription-Units	2246942	2246769	-	cirA
cirAp1	Promoters	2246929	2246990	-	cirA
cirAp2	Promoters	2246942	2247003	-	cirA
citCDEFXG	Transcription-Units	651952	651856	-	citCDEFXG
citCDEFXG	Transcription-Units	652039	651856	-	citCDEFXG
citCp1	Promoters	651952	652013	-	citCDEFXG
citCp2	Promoters	652039	652100	-	citCDEFXG
citT	Transcription-Units	645117	646580	-	citT
citTp4	Promoters	646632	646693	-	NA
citTp6	Promoters	646603	646664	-	NA
clcA	Transcription-Units	175107	176528	+	clcA
clcAp10	Promoters	174991	175052	+	NA
clcB	Transcription-Units	1665315	1666571	+	clcB
cldp10	Promoters	2098475	2098536	-	NA
cldp6	Promoters	2098375	2098436	-	NA
cldp7	Promoters	2098413	2098474	-	NA
cldp9	Promoters	2098310	2098371	-	NA
clpA	Transcription-Units	923080	925540	+	clpA
clpA	Transcription-Units	923092	925540	+	clpA
clpA	Transcription-Units	923210	925540	+	clpA
clpAp1	Promoters	923019	923080	+	clpA
clpAp2	Promoters	923031	923092	+	clpA
clpAp3	Promoters	923149	923210	+	clpA
clpB	Transcription-Units	2734205	2734173	-	clpB
clpB	Transcription-Units	2734205	2734173	-	clpB
clpB terminator	Rho-Independent-Terminators	2731557	2731611	-	clpB // clpB
clpBp	Promoters	2734205	2734266	-	clpB
clpBp2	Promoters	2734205	2734266	-	clpB
clpPp1	Promoters	456516	456577	+	clpPX
clpPp2	Promoters	456585	456646	+	clpPX
clpPp3	Promoters	456544	456605	+	clpPX
clpPX	Transcription-Units	456577	458755	+	clpPX
clpPX	Transcription-Units	456605	458755	+	clpPX
clpPX	Transcription-Units	456646	458755	+	clpPX
clpPX terminator	Rho-Independent-Terminators	458731	458755	+	clpPX // clpPX // clpPX
clpS	Transcription-Units	922751	923233	+	clpS
clpSp	Promoters	922690	922751	+	clpS
clpSp6	Promoters	922689	922750	+	NA
clpSp7	Promoters	922851	922912	+	NA
clpX-lon	Transcription-Units	457202	461242	+	clpX-lon
clpXp	Promoters	457141	457202	+	clpX-lon
clsA-yciU	Transcription-Units	1308673	1308645	-	clsA-yciU
clsAp	Promoters	1308673	1308734	-	clsA-yciU
clsC	Transcription-Units	1106292	1107776	+	clsC
clsCp	Promoters	1106231	1106292	+	clsC
cmk-rpsA	Transcription-Units	961165	963716	+	cmk-rpsA
cmk-rpsA terminator	Rho-Independent-Terminators	963662	963716	+	cmk-rpsA
cmkp	Promoters	961104	961165	+	cmk-rpsA
cmoMp	Promoters	973343	973404	+	smtA-mukFEB
cmr	Transcription-Units	883649	884938	+	cmr
cmr	Transcription-Units	883569	884938	+	cmr
cmr terminator	Rho-Independent-Terminators	884910	884938	+	cmr // cmr
cmrp1	Promoters	883588	883649	+	cmr
cmrp2	Promoters	883508	883569	+	cmr
cmtBA-yggPF-fumE-yggC	Transcription-Units	3073976	3079330	-	cmtBA-yggPF-fumE-yggC
cnu	Transcription-Units	1704949	1705164	+	cnu
cnup10	Promoters	1704751	1704812	+	NA
cnup7	Promoters	1704812	1704873	+	NA
cnup8	Promoters	1704803	1704864	+	NA
cnup9	Promoters	1704700	1704761	+	NA
coaA	Transcription-Units	4175107	4175026	-	coaA
coaAp	Promoters	4175107	4175168	-	coaA
coaE-zapD-yacG	Transcription-Units	111649	113219	-	coaE-zapD-yacG
cobCp6	Promoters	670046	670107	-	NA
cobCp7	Promoters	669944	670005	-	NA
cobTp8	Promoters	2064601	2064662	-	NA
cobUp1	Promoters	2065874	2065935	-	cobUST
cobUp2	Promoters	2065972	2066033	-	cobUST
cobUST	Transcription-Units	2065972	2065764	-	cobUST
cobUST	Transcription-Units	2065874	2065764	-	cobUST
codBA	Transcription-Units	354884	357454	+	codBA
codBp	Promoters	354823	354884	+	codBA
cof	Transcription-Units	467412	468230	+	cof
cohEp10	Promoters	1203088	1203149	-	NA
cohEp8	Promoters	1202955	1203016	-	NA
cohEp9	Promoters	1203014	1203075	-	NA
comR	Transcription-Units	1168844	1168832	-	comR
comRp	Promoters	1168844	1168905	-	comR
comRp3	Promoters	1168863	1168924	-	NA
copA	Transcription-Units	511411	511379	-	copA
copAp	Promoters	511411	511472	-	copA
corA	Transcription-Units	4001194	4002376	+	corA
corAp	Promoters	4001133	4001194	+	corA
CP4-44	Cryptic-Prophages	2066020	2078748	+	NA
CP4-57	Cryptic-Prophages	2755941	2777971	+	NA
CP4-6	Cryptic-Prophages	262898	297205	+	NA
cpdB	Transcription-Units	4436629	4436565	-	cpdB
cpdBp	Promoters	4436629	4436690	-	cpdB
CPS-53	Cryptic-Prophages	2466369	2476583	+	NA
cpxAp1	Promoters	4105101	4105162	-	NA
cpxPp	Promoters	4105724	4105785	+	cpxPQ
cpxPQ	Transcription-Units	4105785	4106387	+	cpxPQ
cpxPQ terminator	Rho-Independent-Terminators	4106361	4106379	+	cpxPQ
CpxQ mRNA-binding-site regulating cfa	mRNA-Binding-Sites	1741278	1741285	+	cfa // cfa
CpxR response regulator - phosphorylated DNA-binding-site 100 bases upstream of csgDp3	DNA-Binding-Sites	1103437	1103452	-	csgDEFG // csgDEFG
CpxR response regulator - phosphorylated DNA-binding-site 101 bases upstream of hlpAp	DNA-Binding-Sites	200347	200362	+	hlpA-lpxD-fabZ-lpxA
CpxR response regulator - phosphorylated DNA-binding-site 108.5 bases upstream of csgDp3	DNA-Binding-Sites	1103446	1103460	-	csgDEFG // csgDEFG
CpxR response regulator - phosphorylated DNA-binding-site 11 bases downstream of bamEp	DNA-Binding-Sites	2753489	2753504	+	bamE
CpxR response regulator - phosphorylated DNA-binding-site 117 bases upstream of ppiDp2	DNA-Binding-Sites	461695	461710	+	ppiD
CpxR response regulator - phosphorylated DNA-binding-site 128.5 bases upstream of mdtAp	DNA-Binding-Sites	2153843	2153859	+	mdtABCD-baeSR
CpxR response regulator - phosphorylated DNA-binding-site 129.5 bases upstream of csgDp3	DNA-Binding-Sites	1103466	1103482	-	csgDEFG // csgDEFG
CpxR response regulator - phosphorylated DNA-binding-site 134 bases upstream of ompCp1	DNA-Binding-Sites	2312957	2312972	-	ompC
CpxR response regulator - phosphorylated DNA-binding-site 141 bases upstream of csgDp3	DNA-Binding-Sites	1103478	1103493	-	csgDEFG // csgDEFG
CpxR response regulator - phosphorylated DNA-binding-site 143.5 bases upstream of yidQp	DNA-Binding-Sites	3867393	3867409	+	yidQ
CpxR response regulator - phosphorylated DNA-binding-site 151 bases downstream of psdp	DNA-Binding-Sites	4390481	4390496	-	psd-mscM
CpxR response regulator - phosphorylated DNA-binding-site 165 bases upstream of ppiDp2	DNA-Binding-Sites	461647	461662	+	ppiD
CpxR response regulator - phosphorylated DNA-binding-site 166 bases upstream of csgDp3	DNA-Binding-Sites	1103503	1103518	-	csgDEFG // csgDEFG
CpxR response regulator - phosphorylated DNA-binding-site 176 bases upstream of yidQp	DNA-Binding-Sites	3867360	3867377	+	yidQ
CpxR response regulator - phosphorylated DNA-binding-site 178 bases upstream of csgDp3	DNA-Binding-Sites	1103516	1103529	-	csgDEFG // csgDEFG
CpxR response regulator - phosphorylated DNA-binding-site 186 bases upstream of csgDp3	DNA-Binding-Sites	1103523	1103538	-	csgDEFG // csgDEFG
CpxR response regulator - phosphorylated DNA-binding-site 192 bases upstream of ldtDp	DNA-Binding-Sites	980732	980747	+	ldtD
CpxR response regulator - phosphorylated DNA-binding-site 21.5 bases upstream of csgDp3	DNA-Binding-Sites	1103359	1103373	-	csgDEFG // csgDEFG
CpxR response regulator - phosphorylated DNA-binding-site 223 bases upstream of degPp	DNA-Binding-Sites	180615	180630	+	degP
CpxR response regulator - phosphorylated DNA-binding-site 254 bases upstream of yidQp	DNA-Binding-Sites	3867282	3867299	+	yidQ
CpxR response regulator - phosphorylated DNA-binding-site 255 bases upstream of csgBp2	DNA-Binding-Sites	1103597	1103612	+	csgBAC // csgBAC
CpxR response regulator - phosphorylated DNA-binding-site 29 bases upstream of marRp	DNA-Binding-Sites	1619057	1619072	+	marRAB
CpxR response regulator - phosphorylated DNA-binding-site 292 bases upstream of bacAp	DNA-Binding-Sites	3204460	3204475	-	bacA
CpxR response regulator - phosphorylated DNA-binding-site 3 bases downstream of csgDp3	DNA-Binding-Sites	1103335	1103350	-	csgDEFG // csgDEFG
CpxR response regulator - phosphorylated DNA-binding-site 351 bases upstream of ompCp1	DNA-Binding-Sites	2313174	2313189	-	ompC
CpxR response regulator - phosphorylated DNA-binding-site 357.5 bases upstream of dsbCp	DNA-Binding-Sites	3039184	3039199	-	dsbC
CpxR response regulator - phosphorylated DNA-binding-site 37 bases upstream of motAp	DNA-Binding-Sites	1977332	1977347	-	motAB-cheAW
CpxR response regulator - phosphorylated DNA-binding-site 373 bases upstream of ompFp2	DNA-Binding-Sites	987458	987473	-	ompF // ompF
CpxR response regulator - phosphorylated DNA-binding-site 38 bases upstream of aroGp	DNA-Binding-Sites	785546	785561	+	aroG
CpxR response regulator - phosphorylated DNA-binding-site 391.5 bases upstream of dsbCp	DNA-Binding-Sites	3039219	3039233	-	dsbC
CpxR response regulator - phosphorylated DNA-binding-site 41 bases upstream of dgcZp	DNA-Binding-Sites	1623912	1623929	-	dgcZ
CpxR response regulator - phosphorylated DNA-binding-site 429.5 bases upstream of ompFp2	DNA-Binding-Sites	987514	987530	-	ompF // ompF
CpxR response regulator - phosphorylated DNA-binding-site 43 bases upstream of csgDp3	DNA-Binding-Sites	1103380	1103395	-	csgDEFG // csgDEFG
CpxR response regulator - phosphorylated DNA-binding-site 44 bases upstream of yebEp	DNA-Binding-Sites	1929769	1929784	-	yebE
CpxR response regulator - phosphorylated DNA-binding-site 464 bases upstream of csgBp2	DNA-Binding-Sites	1103388	1103403	+	csgBAC // csgBAC
CpxR response regulator - phosphorylated DNA-binding-site 47 bases upstream of cpxRp2	DNA-Binding-Sites	4105726	4105741	-	cpxRA // cpxRA // cpxPQ
CpxR response regulator - phosphorylated DNA-binding-site 47 bases upstream of ppiAp1	DNA-Binding-Sites	3492375	3492390	-	ppiA
CpxR response regulator - phosphorylated DNA-binding-site 47 bases upstream of yqjAp1	DNA-Binding-Sites	3247494	3247509	+	yqjA-mzrA
CpxR response regulator - phosphorylated DNA-binding-site 48 bases upstream of csgDp3	DNA-Binding-Sites	1103385	1103400	-	csgDEFG // csgDEFG
CpxR response regulator - phosphorylated DNA-binding-site 48 bases upstream of yqaEp	DNA-Binding-Sites	2797126	2797141	-	yqaE-kbp // yqaE
CpxR response regulator - phosphorylated DNA-binding-site 49 bases upstream of srkAp	DNA-Binding-Sites	4042335	4042350	+	srkA-dsbA
CpxR response regulator - phosphorylated DNA-binding-site 5 bases upstream of cpxPp	DNA-Binding-Sites	4105771	4105790	+	cpxPQ
CpxR response regulator - phosphorylated DNA-binding-site 50 bases upstream of spyp	DNA-Binding-Sites	1825731	1825746	-	spy
CpxR response regulator - phosphorylated DNA-binding-site 50 bases upstream of tomBp	DNA-Binding-Sites	480837	480852	-	tomB-hha
CpxR response regulator - phosphorylated DNA-binding-site 52 bases upstream of csgDp3	DNA-Binding-Sites	1103389	1103404	-	csgDEFG // csgDEFG
CpxR response regulator - phosphorylated DNA-binding-site 52 bases upstream of sltp7	DNA-Binding-Sites	4630641	4630656	+	slt
CpxR response regulator - phosphorylated DNA-binding-site 53 bases upstream of yccAp	DNA-Binding-Sites	1031489	1031504	-	yccA
CpxR response regulator - phosphorylated DNA-binding-site 53.5 bases upstream of ldtCp	DNA-Binding-Sites	1170463	1170479	-	ldtC
CpxR response regulator - phosphorylated DNA-binding-site 54.5 bases upstream of efeUp	DNA-Binding-Sites	1081246	1081260	+	efeU
