Position	Strand	Coverage_WT1	Coverage_WT2	Coverage_WT3	MethylPercent_WT1	MethylPercent_WT2	MethylPercent_WT3	Coverage_Mean	MethylPercent_Mean
497798	Minus	53	55	57	0.9434	1	1	55	0.981133333
498413	Plus	44	62	44	0.9091	0.9194	0.9318	50	0.9201
498414	Minus	57	50	59	0.9474	0.98	0.9492	55.33333333	0.958866667
498614	Plus	43	59	52	0.907	1	0.9423	51.33333333	0.949766667
498615	Minus	58	47	60	0.9655	0.9149	0.9667	55	0.949033333
499188	Plus	53	63	66	0.9434	0.9683	0.9242	60.66666667	0.9453
499189	Minus	56	47	62	0.9821	0.9787	0.9194	55	0.960066667
499236	Plus	52	65	67	0.9615	1	0.9701	61.33333333	0.9772
499237	Minus	56	42	62	1	0.9762	0.9194	53.33333333	0.9652
499426	Plus	54	62	68	0.963	0.9516	0.9412	61.33333333	0.951933333
499427	Minus	54	42	61	0.963	1	1	52.33333333	0.987666667
499662	Plus	50	66	68	0.98	0.9697	1	61.33333333	0.983233333
499663	Minus	54	46	60	1	0.8696	0.95	53.33333333	0.939866667
500029	Plus	48	64	66	0.9792	0.9375	0.8636	59.33333333	0.926766667
500030	Minus	53	53	65	1	0.9811	0.9385	57	0.9732
500180	Plus	50	67	63	0.98	1	0.9524	60	0.977466667
500181	Minus	50	54	62	0.96	0.9815	0.9516	55.33333333	0.964366667
500243	Plus	49	62	60	1	0.9839	0.9833	57	0.989066667
500244	Minus	52	52	63	0.9423	0.9808	0.9683	55.66666667	0.9638
500537	Plus	50	65	63	0.96	0.9385	0.9206	59.33333333	0.9397
500538	Minus	52	50	67	0.9808	0.94	0.9701	56.33333333	0.963633333
500861	Plus	48	66	67	0.9583	0.9697	0.9403	60.33333333	0.9561
500862	Minus	55	53	65	0.9818	1	0.9692	57.66666667	0.983666667
500921	Plus	51	69	69	0.9608	1	1	63	0.986933333
500922	Minus	54	51	66	0.9815	0.9608	0.9697	57	0.970666667
500960	Plus	50	70	66	0.94	0.9571	0.9697	62	0.9556
500961	Minus	49	49	64	1	0.9388	0.9219	54	0.953566667
501422	Plus	58	70	63	0.9828	1	0.9683	63.66666667	0.9837
501423	Minus	55	53	60	0.9818	0.9057	0.9833	56	0.956933333
501782	Plus	53	69	69	1	1	0.9275	63.66666667	0.975833333
501783	Minus	58	54	63	0.9483	1	0.9524	58.33333333	0.9669
502004	Plus	58	68	59	0.9655	0.9559	0.9661	61.66666667	0.9625
502005	Minus	51	54	67	0.8431	0.8889	0.9104	57.33333333	0.8808
502118	Plus	54	67	62	0.963	0.9403	0.9355	61	0.946266667
502119	Minus	52	54	63	1	0.963	1	56.33333333	0.987666667
502357	Plus	54	67	60	1	0.9552	0.9833	60.33333333	0.9795
502358	Minus	58	57	64	0.9828	0.9825	0.9844	59.66666667	0.983233333
502649	Plus	54	64	59	0.9815	0.9688	0.9661	59	0.972133333
502650	Minus	58	53	59	0.9828	1	0.9831	56.66666667	0.988633333
502667	Plus	53	64	61	0.8868	0.9844	0.9016	59.33333333	0.924266667
502668	Minus	57	53	58	0.9298	0.9811	0.8966	56	0.935833333
502961	Plus	52	65	59	0.9423	0.9538	0.9831	58.66666667	0.959733333
502962	Minus	59	51	57	0.9831	0.9804	0.9474	55.66666667	0.9703
503387	Plus	49	60	53	0.9388	0.9833	0.8491	54	0.923733333
503388	Minus	58	50	52	0.8448	0.88	0.8462	53.33333333	0.857
503572	Plus	49	57	49	0.9184	0.9123	0.9592	51.66666667	0.929966667
503573	Minus	55	47	53	0.8182	0.8723	0.8679	51.66666667	0.8528
503852	Plus	46	58	46	0.9348	0.931	0.8696	50	0.9118
503853	Minus	57	51	54	0.9825	0.9216	0.9815	54	0.961866667
504125	Plus	45	57	53	0.9333	1	0.9811	51.66666667	0.971466667
504126	Minus	56	52	55	0.9286	1	1	54.33333333	0.9762
504578	Plus	46	54	56	0.9348	0.9815	0.9464	52	0.954233333
504579	Minus	53	51	54	0.9434	0.9608	0.9444	52.66666667	0.949533333
504735	Plus	42	46	50	0.7381	0.8696	0.68	46	0.762566667
504736	Minus	51	53	55	0.902	0.9434	0.9273	53	0.924233333
505035	Plus	46	53	53	0.9783	0.9811	0.8302	50.66666667	0.929866667
505036	Minus	53	55	54	0.9811	1	0.9444	54	0.975166667
505253	Plus	45	52	57	1	1	0.9825	51.33333333	0.994166667
505254	Minus	57	55	51	0.9649	0.8909	0.8824	54.33333333	0.912733333
505398	Plus	42	55	60	1	1	1	52.33333333	1
505399	Minus	58	54	56	0.9483	0.9815	0.9821	56	0.970633333
505642	Plus	44	50	60	1	1	0.9667	51.33333333	0.9889
505643	Minus	58	56	57	1	1	0.9825	57	0.994166667
505655	Plus	44	52	60	0.9773	0.9808	1	52	0.986033333
505656	Minus	58	57	55	0.9828	0.9825	0.9818	56.66666667	0.982366667
505677	Plus	45	49	60	0.9778	0.9796	0.9833	51.33333333	0.980233333
505678	Minus	57	56	57	0.9825	0.9821	1	56.66666667	0.9882
505746	Plus	44	50	62	0.9773	1	0.9355	52	0.970933333
505747	Minus	55	54	57	0.9818	1	0.9649	55.33333333	0.982233333
505949	Plus	45	48	68	0.8444	0.9583	0.9706	53.66666667	0.924433333
505950	Minus	57	56	54	0.9649	1	0.9444	55.66666667	0.969766667
506034	Plus	45	47	66	0.9778	0.9787	0.9394	52.66666667	0.9653
506035	Minus	59	56	53	1	0.9643	0.8679	56	0.944066667
506097	Plus	46	48	66	1	1	0.9545	53.33333333	0.984833333
506098	Minus	57	56	54	1	0.9643	0.963	55.66666667	0.975766667
506370	Plus	47	50	71	1	0.96	0.9296	56	0.9632
506371	Minus	61	55	52	1	0.9818	0.9808	56	0.987533333
506643	Plus	50	51	73	1	0.9804	1	58	0.993466667
506644	Minus	63	53	53	0.9524	0.9434	0.9434	56.33333333	0.9464
506654	Plus	47	50	71	0.9149	0.98	0.9577	56	0.950866667
506655	Minus	62	55	56	0.9516	0.9818	0.9464	57.66666667	0.959933333
506819	Plus	48	52	77	1	0.9808	0.961	59	0.9806
506820	Minus	65	55	55	0.9231	0.9455	0.9455	58.33333333	0.938033333
506870	Plus	49	53	73	0.9796	0.9811	0.9726	58.33333333	0.977766667
506871	Minus	62	57	54	1	0.9649	0.9815	57.66666667	0.982133333
506957	Plus	47	53	74	0.9574	1	0.9865	58	0.9813
506958	Minus	64	58	55	0.9688	0.9655	0.9818	59	0.972033333
507014	Plus	46	52	71	0.9348	0.9808	0.9718	56.33333333	0.962466667
507015	Minus	65	59	56	0.9692	0.9661	0.9464	60	0.960566667
507887	Plus	47	51	76	0.9787	1	0.9605	58	0.979733333
507888	Minus	61	62	55	0.9836	0.9839	0.9636	59.33333333	0.977033333
508075	Plus	43	52	68	0.9767	0.9231	0.9412	54.33333333	0.947
508076	Minus	61	62	53	0.9836	0.9355	0.9811	58.66666667	0.966733333
508350	Plus	42	56	71	0.9762	0.9464	0.9296	56.33333333	0.950733333
508351	Minus	61	62	52	1	0.9677	0.9808	58.33333333	0.982833333
508450	Plus	40	53	64	0.95	0.9434	0.9375	52.33333333	0.943633333
508451	Minus	61	63	53	0.918	0.9683	0.9434	59	0.943233333
509266	Plus	41	56	71	0.9756	0.9286	0.9718	56	0.958666667
509267	Minus	64	67	58	0.9688	0.9403	1	63	0.9697
509302	Plus	42	56	68	0.9524	0.875	0.9265	55.33333333	0.917966667
509303	Minus	60	68	57	0.9833	0.9853	1	61.66666667	0.989533333
509332	Plus	43	57	68	0.9535	0.9649	0.9853	56	0.9679
509333	Minus	61	67	57	0.9672	0.9851	0.9123	61.66666667	0.954866667
509433	Plus	40	55	74	0.925	0.9636	1	56.33333333	0.962866667
509434	Minus	61	68	58	0.9672	0.9706	0.9828	62.33333333	0.973533333
509677	Plus	42	56	72	0.9048	0.9643	0.9861	56.66666667	0.951733333
509678	Minus	63	66	59	1	0.9697	1	62.66666667	0.9899
510321	Plus	45	58	69	0.9556	0.9655	0.971	57.33333333	0.964033333
510322	Minus	60	65	59	0.95	0.9846	0.9831	61.33333333	0.972566667
510493	Plus	44	57	68	1	0.9825	0.9853	56.33333333	0.989266667
510494	Minus	58	64	60	0.9138	0.9375	0.9333	60.66666667	0.9282
510766	Plus	41	51	59	0.8293	0.9216	0.9661	50.33333333	0.905666667
510767	Minus	52	61	62	0.9615	1	1	58.33333333	0.987166667
511222	Plus	46	55	63	1	0.9818	1	54.66666667	0.993933333
511223	Minus	44	56	61	0.9773	1	0.9672	53.66666667	0.9815
511675	Plus	44	49	56	0.9091	0.8571	0.8214	49.66666667	0.862533333
511676	Minus	41	53	44	0.9268	0.9057	0.8864	46	0.9063
512573	Plus	44	52	57	1	0.9808	0.9474	51	0.976066667
512574	Minus	48	58	62	0.9792	0.9828	0.9677	56	0.976566667
512666	Plus	49	49	59	0.9796	0.9592	0.9492	52.33333333	0.962666667
512667	Minus	42	57	65	0.9286	0.8947	0.8615	54.66666667	0.894933333
512987	Plus	46	51	59	0.9565	0.9608	0.9661	52	0.961133333
512988	Minus	44	56	58	1	0.9286	0.9655	52.66666667	0.9647
513050	Plus	45	51	61	0.9556	0.9216	0.9672	52.33333333	0.948133333
513051	Minus	46	59	58	1	0.9661	0.9655	54.33333333	0.9772
513074	Plus	46	53	61	0.9565	0.9811	1	53.33333333	0.9792
513075	Minus	47	59	60	0.9787	0.9322	0.9833	55.33333333	0.964733333
513237	Plus	44	56	57	0.8864	0.9821	0.9825	52.33333333	0.950333333
513238	Minus	43	63	58	1	0.9524	1	54.66666667	0.984133333
513413	Plus	43	54	61	0.9767	0.963	0.9836	52.66666667	0.974433333
513414	Minus	51	63	63	0.9608	1	0.9683	59	0.976366667
513677	Plus	48	53	67	1	0.9623	0.9403	56	0.967533333
513678	Minus	50	62	66	0.98	0.9677	0.9848	59.33333333	0.9775
513749	Plus	46	50	68	0.9565	0.92	0.9853	54.66666667	0.953933333
513750	Minus	50	61	66	0.98	0.9672	0.9697	59	0.9723
514263	Plus	47	57	74	0.9787	0.9825	0.9865	59.33333333	0.982566667
514264	Minus	56	61	65	0.9464	0.9836	0.9846	60.66666667	0.971533333
514476	Plus	53	54	70	1	0.9815	0.9571	59	0.979533333
514477	Minus	54	59	66	0.9815	1	0.9848	59.66666667	0.988766667
514977	Plus	45	55	71	0.8667	0.9636	0.8732	57	0.901166667
514978	Minus	49	53	71	0.9388	0.9245	0.9437	57.66666667	0.935666667
515199	Plus	49	54	71	0.9388	1	0.9155	58	0.951433333
515200	Minus	55	58	71	0.9636	0.9655	0.9577	61.33333333	0.962266667
515451	Plus	51	53	75	0.9412	1	0.9467	59.66666667	0.962633333
515452	Minus	52	50	68	0.9808	0.9	0.9265	56.66666667	0.935766667
515598	Plus	53	53	76	0.9811	1	0.9868	60.66666667	0.9893
515599	Minus	51	54	71	0.9608	1	0.9437	58.66666667	0.968166667
515615	Plus	53	53	74	1	0.9623	0.9865	60	0.982933333
515616	Minus	54	56	70	0.963	0.9821	0.9857	60	0.976933333
516087	Plus	50	56	61	0.9	0.9286	0.9344	55.66666667	0.921
516088	Minus	45	55	71	0.9556	0.9091	0.9296	57	0.931433333
516222	Plus	50	54	69	0.98	0.963	0.942	57.66666667	0.961666667
516223	Minus	47	59	76	0.9149	0.9831	1	60.66666667	0.966
516237	Plus	52	51	70	0.9808	0.9412	0.9429	57.66666667	0.954966667
516238	Minus	47	60	72	0.9362	1	0.9861	59.66666667	0.9741
516456	Plus	52	51	70	0.9231	0.9804	0.9714	57.66666667	0.9583
516457	Minus	44	60	69	0.9773	0.9833	1	57.66666667	0.986866667
516952	Plus	41	50	66	0.9512	0.98	0.9697	52.33333333	0.966966667
516953	Minus	44	55	57	0.9773	1	0.9649	52	0.980733333
517211	Plus	45	52	66	0.9778	0.9808	0.9545	54.33333333	0.971033333
517212	Minus	44	52	53	0.8409	0.9038	0.8868	49.66666667	0.877166667
517413	Plus	43	54	64	0.9767	0.963	0.9688	53.66666667	0.9695
517414	Minus	46	53	57	1	1	1	52	1
517498	Plus	47	55	63	1	0.9636	0.9841	55	0.982566667
517499	Minus	47	53	58	0.9574	0.9245	0.9655	52.66666667	0.949133333
517542	Plus	46	53	65	0.9783	0.9811	0.9846	54.66666667	0.981333333
517543	Minus	46	47	57	0.8696	0.9574	0.9825	50	0.9365
517746	Plus	48	53	64	0.9583	1	0.9531	55	0.970466667
517747	Minus	48	52	60	1	1	1	53.33333333	1
517831	Plus	46	55	59	1	0.9273	0.9322	53.33333333	0.953166667
517832	Minus	48	53	60	0.9792	0.9811	1	53.66666667	0.986766667
517975	Plus	51	55	59	0.9608	0.9636	0.9831	55	0.969166667
517976	Minus	47	55	59	0.9787	0.9455	0.9831	53.66666667	0.9691
518590	Plus	50	56	62	0.92	1	0.8871	56	0.9357
518591	Minus	51	51	58	0.9804	0.9412	0.9483	53.33333333	0.956633333
518878	Plus	50	58	57	0.94	0.931	0.8947	55	0.9219
518879	Minus	50	48	55	0.98	0.9792	0.9455	51	0.968233333
518908	Plus	53	61	56	0.9811	0.9344	0.9464	56.66666667	0.953966667
518909	Minus	49	48	59	0.9592	0.9583	0.9322	52	0.9499
518928	Plus	52	61	55	0.9808	1	0.9636	56	0.981466667
518929	Minus	49	48	59	1	0.9792	0.9492	52	0.976133333
518952	Plus	53	60	58	0.9811	1	0.9655	57	0.9822
518953	Minus	47	50	59	0.9787	0.98	0.9661	52	0.974933333
518956	Plus	50	59	57	0.94	0.9831	0.9825	55.33333333	0.968533333
518957	Minus	48	48	57	1	0.9792	0.9825	51	0.987233333
519127	Plus	52	56	52	0.9423	0.9286	0.9808	53.33333333	0.950566667
519128	Minus	46	50	56	0.9565	0.98	0.9286	50.66666667	0.955033333
519870	Plus	45	54	57	0.9556	1	0.9298	52	0.9618
519871	Minus	40	50	55	0.925	0.96	1	48.33333333	0.961666667
519895	Plus	45	55	58	0.9111	0.9636	0.9138	52.66666667	0.9295
519896	Minus	41	50	52	0.9756	0.96	0.9231	47.66666667	0.9529
520154	Plus	45	51	58	0.9778	0.9804	1	51.33333333	0.986066667
520155	Minus	41	47	53	1	0.9787	0.9623	47	0.980333333
520525	Plus	46	51	61	1	0.9804	0.9672	52.66666667	0.982533333
520526	Minus	38	45	52	1	0.9333	0.9231	45	0.952133333
520576	Plus	46	55	61	1	1	0.9836	54	0.994533333
520577	Minus	38	48	55	0.9474	0.9792	0.9091	47	0.945233333
520747	Plus	45	53	56	1	0.9811	0.9643	51.33333333	0.9818
520748	Minus	40	43	50	0.9	0.9535	0.92	44.33333333	0.9245
521120	Plus	43	51	51	1	0.9608	0.902	48.33333333	0.954266667
521121	Minus	35	44	57	1	0.9545	0.9649	45.33333333	0.973133333
521230	Plus	40	51	54	0.95	1	0.9815	48.33333333	0.977166667
521231	Minus	35	44	57	0.9429	0.9773	0.9825	45.33333333	0.967566667
521241	Plus	41	51	54	0.9512	0.9608	1	48.66666667	0.970666667
521242	Minus	33	43	56	0.9697	0.9767	1	44	0.982133333
521842	Plus	42	45	50	0.9762	0.9556	0.94	45.66666667	0.957266667
521843	Minus	30	48	61	0.9667	0.9583	0.8852	46.33333333	0.936733333
522085	Plus	38	44	49	1	1	0.9592	43.66666667	0.9864
522086	Minus	29	45	62	0.931	1	0.9516	45.33333333	0.960866667
526925	Plus	18	40	46	0.8333	1	0.9783	34.66666667	0.9372
526926	Minus	36	57	43	0.9444	0.9474	0.9535	45.33333333	0.948433333
527058	Plus	16	37	40	0.5625	0.6216	0.525	31	0.5697
527059	Minus	36	47	40	0.8333	0.7872	0.9	41	0.840166667
527172	Plus	16	40	37	0.1875	0.075	0.0811	31	0.114533333
527173	Minus	35	42	37	0.7143	0.8333	0.8108	38	0.786133333
528121	Plus	23	44	55	1	0.9091	0.9273	40.66666667	0.945466667
528122	Minus	41	48	41	0.9756	0.9792	0.9756	43.33333333	0.9768
528217	Plus	20	40	54	1	0.875	0.9074	38	0.927466667
528218	Minus	41	42	36	0.9024	0.881	0.8889	39.66666667	0.890766667
528265	Plus	23	37	45	0.7391	0.5946	0.7111	35	0.6816
528266	Minus	39	43	36	0.6923	0.7442	0.9167	39.33333333	0.7844
528346	Plus	17	37	48	0.8235	0.7027	0.7708	34	0.765666667
528347	Minus	41	40	38	0.6098	0.45	0.7368	39.66666667	0.598866667
528410	Plus	27	38	51	0.8519	0.8947	0.9216	38.66666667	0.8894
528411	Minus	43	45	41	0.8837	0.8444	0.9512	43	0.8931
528982	Plus	22	31	46	0.7273	0.6452	0.5435	33	0.638666667
528983	Minus	43	48	45	0.6977	0.8333	0.7556	45.33333333	0.7622
530099	Plus	36	37	50	0.8889	0.8919	0.92	41	0.900266667
530100	Minus	50	53	41	0.86	0.8679	0.9756	48	0.901166667
530484	Plus	39	37	54	1	1	0.9815	43.33333333	0.993833333
530485	Minus	54	53	41	0.963	0.9434	0.9756	49.33333333	0.960666667
530495	Plus	38	38	55	0.9737	1	0.9636	43.66666667	0.9791
530496	Minus	52	51	41	1	0.902	0.9756	48	0.9592
530565	Plus	40	38	56	0.95	0.9737	0.9464	44.66666667	0.9567
530566	Minus	53	52	41	0.9811	0.9615	1	48.66666667	0.980866667
530726	Plus	38	35	54	0.9737	1	1	42.33333333	0.991233333
530727	Minus	54	50	36	0.9815	0.96	1	46.66666667	0.9805
531473	Plus	43	41	44	0.9767	0.9756	0.9545	42.66666667	0.968933333
531474	Minus	47	50	47	1	1	0.9787	48	0.9929
531694	Plus	44	42	50	0.9773	1	1	45.33333333	0.992433333
531695	Minus	49	50	50	1	0.98	1	49.66666667	0.993333333
531726	Plus	43	40	50	0.9302	0.925	0.94	44.33333333	0.931733333
531727	Minus	50	50	50	1	1	1	50	1
531736	Plus	41	42	51	1	0.9762	1	44.66666667	0.992066667
531737	Minus	49	49	48	1	1	0.9375	48.66666667	0.979166667
532124	Plus	38	46	57	0.9737	1	0.9825	47	0.9854
532125	Minus	45	49	52	0.9556	1	1	48.66666667	0.9852
532213	Plus	39	45	55	0.9487	0.9778	0.9636	46.33333333	0.963366667
532214	Minus	45	49	48	0.9778	0.9592	0.9167	47.33333333	0.951233333
532869	Plus	37	52	55	0.973	1	0.9273	48	0.966766667
532870	Minus	48	51	57	1	0.9804	0.9825	52	0.987633333
533371	Plus	43	59	62	1	0.9492	0.9194	54.66666667	0.9562
533372	Minus	45	52	62	1	1	0.9677	53	0.989233333
533744	Plus	43	55	58	0.9535	0.9636	0.8621	52	0.9264
533745	Minus	45	56	68	0.9778	0.9464	0.9118	56.33333333	0.945333333
534165	Plus	46	57	65	0.9348	0.9123	0.9846	56	0.9439
534166	Minus	43	52	58	0.9302	0.9231	0.8793	51	0.910866667
534436	Plus	49	60	63	0.9592	1	0.9683	57.33333333	0.975833333
534437	Minus	44	57	54	1	1	0.9815	51.66666667	0.993833333
534492	Plus	49	60	63	1	0.95	0.9683	57.33333333	0.972766667
534493	Minus	43	57	50	0.9767	1	1	50	0.992233333
534618	Plus	44	58	57	0.9545	0.9828	0.9649	53	0.9674
534619	Minus	43	53	52	0.9535	0.9811	1	49.33333333	0.9782
534655	Plus	44	60	58	0.9318	0.9667	0.9483	54	0.948933333
534656	Minus	43	56	53	0.9767	0.9821	0.9811	50.66666667	0.979966667
534859	Plus	47	59	62	1	0.9661	1	56	0.9887
534860	Minus	43	60	59	1	0.9667	0.9661	54	0.9776
535152	Plus	47	57	62	0.9362	0.9474	0.9194	55.33333333	0.934333333
535153	Minus	45	61	56	0.9778	0.9508	0.9821	54	0.970233333
535219	Plus	47	52	62	1	0.9808	0.9839	53.66666667	0.988233333
535220	Minus	45	62	57	1	0.9839	0.9825	54.66666667	0.9888
536473	Plus	48	50	57	0.9167	0.96	0.9474	51.66666667	0.941366667
536474	Minus	51	71	54	0.9412	0.9718	1	58.66666667	0.971
536538	Plus	52	53	59	0.9231	0.9811	0.9322	54.66666667	0.945466667
536539	Minus	48	69	58	1	0.9565	0.9828	58.33333333	0.979766667
537298	Plus	60	51	59	0.85	0.9804	0.9661	56.66666667	0.932166667
537299	Minus	49	61	46	0.8776	0.9016	0.913	52	0.8974
537409	Plus	61	49	57	0.918	0.9184	0.9474	55.66666667	0.927933333
537410	Minus	48	59	51	0.9583	0.9661	0.9608	52.66666667	0.961733333
537679	Plus	53	41	53	0.8113	0.8537	0.7547	49	0.806566667
537680	Minus	38	52	49	0.7895	0.5962	0.8776	46.33333333	0.754433333
537912	Plus	62	43	55	0.9194	0.9767	0.9636	53.33333333	0.953233333
537913	Minus	48	59	54	1	0.9661	0.9815	53.66666667	0.982533333
538254	Plus	65	45	59	0.9231	0.9778	1	56.33333333	0.966966667
538255	Minus	50	60	53	0.98	0.9333	0.9811	54.33333333	0.9648
538713	Plus	60	39	57	0.9667	0.9231	0.9298	52	0.939866667
538714	Minus	55	68	57	0.9818	0.9559	0.9649	60	0.967533333
539253	Plus	58	42	58	0.9655	1	0.9828	52.66666667	0.982766667
539254	Minus	45	67	68	0.9778	0.9403	0.9412	60	0.9531
539411	Plus	58	42	61	0.9483	0.9524	0.9508	53.66666667	0.9505
539412	Minus	49	71	64	0.9388	0.9718	0.9688	61.33333333	0.9598
539607	Plus	56	44	65	1	0.9318	0.9846	55	0.972133333
539608	Minus	50	73	62	0.94	0.9589	0.9194	61.66666667	0.939433333
539973	Plus	63	42	65	0.9048	1	0.9692	56.66666667	0.958
539974	Minus	52	72	62	1	0.9583	0.9839	62	0.980733333
540017	Plus	63	43	65	0.9524	0.9302	0.9846	57	0.955733333
540018	Minus	53	69	62	0.9811	0.971	1	61.33333333	0.984033333
540024	Plus	63	41	66	0.9206	0.9756	0.9545	56.66666667	0.950233333
540025	Minus	50	67	62	0.96	1	0.9677	59.66666667	0.9759
540354	Plus	67	43	61	0.9552	1	0.9672	57	0.974133333
540355	Minus	50	69	64	0.98	0.942	0.9531	61	0.958366667
540850	Plus	68	47	58	0.9853	0.9574	1	57.66666667	0.9809
540851	Minus	46	72	68	0.913	0.9306	0.8971	62	0.913566667
542426	Plus	66	62	66	0.9242	0.9839	0.9848	64.66666667	0.9643
542427	Minus	47	71	62	0.9574	0.9577	1	60	0.9717
543150	Plus	54	59	68	0.963	0.9492	0.8971	60.33333333	0.936433333
543151	Minus	45	63	67	0.9556	0.9683	0.9254	58.33333333	0.949766667
543388	Plus	59	66	72	0.9492	1	1	65.66666667	0.983066667
543389	Minus	51	79	62	0.9216	0.9873	0.9516	64	0.9535
543784	Plus	59	62	72	0.9322	0.9677	0.8889	64.33333333	0.9296
543785	Minus	49	73	62	0.9184	0.9452	0.9194	61.33333333	0.927666667
544154	Plus	61	63	65	0.9672	0.9524	0.9385	63	0.9527
544155	Minus	51	79	61	0.9608	1	0.9672	63.66666667	0.976
544519	Plus	56	64	69	0.9286	0.9062	0.9275	63	0.920766667
544520	Minus	54	80	67	0.963	0.9625	0.9851	67	0.9702
545440	Plus	52	64	71	1	0.9844	0.9859	62.33333333	0.9901
545441	Minus	47	73	67	1	1	1	62.33333333	1
545734	Plus	49	68	70	0.9592	0.9559	0.9714	62.33333333	0.962166667
545735	Minus	43	77	62	0.9535	0.961	0.9677	60.66666667	0.960733333
545855	Plus	50	67	67	0.96	0.9403	0.9403	61.33333333	0.946866667
545856	Minus	43	76	64	0.9767	0.9737	0.9844	61	0.978266667
545941	Plus	52	66	65	0.9615	0.9848	0.9692	61	0.971833333
545942	Minus	41	74	64	1	0.9595	0.9688	59.66666667	0.9761
546242	Plus	51	64	73	0.9804	0.9688	0.9726	62.66666667	0.973933333
546243	Minus	44	73	64	0.9773	0.9589	0.9688	60.33333333	0.968333333
546436	Plus	41	54	61	0.7073	0.7963	0.7541	52	0.752566667
546437	Minus	43	68	58	0.7907	0.7059	0.6897	56.33333333	0.728766667
546683	Plus	50	58	65	0.92	0.9483	0.9231	57.66666667	0.930466667
546684	Minus	43	75	61	0.9302	0.92	0.9508	59.66666667	0.933666667
546908	Plus	57	56	67	0.9825	0.9286	0.9254	60	0.9455
546909	Minus	45	78	59	1	0.9872	0.9831	60.66666667	0.9901
547095	Plus	56	57	66	1	1	0.9848	59.66666667	0.994933333
547096	Minus	45	80	55	0.9778	0.975	0.9818	60	0.9782
547853	Plus	52	55	66	0.9231	0.9636	0.9545	57.66666667	0.947066667
547854	Minus	49	80	56	0.9796	0.975	0.9643	61.66666667	0.972966667
547887	Plus	52	58	69	0.9231	0.9138	0.942	59.66666667	0.9263
547888	Minus	50	78	56	1	0.9872	1	61.33333333	0.995733333
547956	Plus	53	60	68	0.9245	0.95	0.9853	60.33333333	0.953266667
547957	Minus	50	77	56	1	0.974	0.9821	61	0.985366667
548868	Plus	60	57	77	0.9833	0.9825	0.974	64.66666667	0.979933333
548869	Minus	47	80	62	0.9574	0.975	0.9839	63	0.9721
548982	Plus	58	55	77	0.9828	0.9455	1	63.33333333	0.9761
548983	Minus	50	78	60	1	0.9487	1	62.66666667	0.9829
549033	Plus	57	57	77	0.9825	0.8947	0.9221	63.66666667	0.9331
549034	Minus	48	77	58	1	0.987	1	61	0.995666667
549095	Plus	58	59	77	0.9828	0.9661	0.987	64.66666667	0.978633333
549096	Minus	51	79	57	1	1	0.9825	62.33333333	0.994166667
549302	Plus	57	61	80	0.9649	0.9836	1	66	0.982833333
549303	Minus	51	81	61	0.9412	0.9506	0.9672	64.33333333	0.953
549413	Plus	57	61	76	0.9649	0.9508	0.9474	64.66666667	0.954366667
549414	Minus	48	83	63	0.9583	0.9639	1	64.66666667	0.974066667
549524	Plus	56	62	78	1	1	1	65.33333333	1
549525	Minus	49	83	63	0.9388	0.9398	0.9841	65	0.954233333
549633	Plus	55	61	75	0.9455	0.9508	0.9467	63.66666667	0.947666667
549634	Minus	51	85	62	0.9804	0.9529	0.9516	66	0.961633333
550018	Plus	57	59	78	0.9825	0.9661	0.9744	64.66666667	0.974333333
550019	Minus	49	80	58	0.9592	0.925	0.9138	62.33333333	0.932666667
550779	Plus	55	57	80	1	0.9474	1	64	0.982466667
550780	Minus	44	81	70	0.9773	0.9383	1	65	0.971866667
551046	Plus	51	55	78	0.9804	0.8909	0.9487	61.33333333	0.94
551047	Minus	46	73	68	0.9565	0.9452	0.9706	62.33333333	0.957433333
551096	Plus	51	59	75	1	0.9661	0.9733	61.66666667	0.9798
551097	Minus	45	74	68	1	0.9595	0.9706	62.33333333	0.9767
551473	Plus	52	60	77	0.9808	0.9333	0.987	63	0.967033333
551474	Minus	46	80	67	0.913	0.9125	0.9851	64.33333333	0.936866667
551747	Plus	52	59	85	0.9615	0.9661	0.9529	65.33333333	0.960166667
551748	Minus	45	78	70	0.9333	0.9872	0.9714	64.33333333	0.963966667
551791	Plus	52	59	83	0.9808	0.9831	0.988	64.66666667	0.983966667
551792	Minus	46	75	66	0.9565	0.96	0.9545	62.33333333	0.957
551888	Plus	51	63	83	1	0.9365	1	65.66666667	0.978833333
551889	Minus	44	79	71	0.9773	0.9747	1	64.66666667	0.984
552262	Plus	49	65	82	0.9796	1	1	65.33333333	0.9932
552263	Minus	46	80	68	0.9783	1	0.9853	64.66666667	0.987866667
553366	Plus	55	55	72	1	0.9818	0.9722	60.66666667	0.984666667
553367	Minus	50	71	70	0.98	0.9859	0.9857	63.66666667	0.983866667
553429	Plus	54	55	75	0.9444	0.9455	0.9867	61.33333333	0.958866667
553430	Minus	49	72	68	0.9388	0.9861	0.9706	63	0.965166667
553753	Plus	52	62	74	0.9231	0.9839	0.9595	62.66666667	0.9555
553754	Minus	47	74	63	0.9149	0.9189	0.8889	61.33333333	0.907566667
553788	Plus	52	61	73	1	0.9672	0.9726	62	0.979933333
553789	Minus	43	76	69	0.907	0.9211	0.9565	62.66666667	0.9282
553818	Plus	52	58	69	0.9808	0.9655	0.9565	59.66666667	0.9676
553819	Minus	45	76	72	0.9333	0.9474	0.9722	64.33333333	0.950966667
